id,value
101361,1
1039461,1
1056386,1
1087714,1
1103872,1
1131217,1
115145,1
1160282,1
1251958,1
1253844,1
1255627,1
1275577,1
1276952,1
1312276,1
1351469,1
1354350,1
1377893,1
1380752,2
1388172,1
1392269,1
1409296,1
1417454,1
1452622,1
1455848,1
1478052,1
1483654,1
1497175,1
1512250,1
1549700,2
1581698,1
1618823,1
1627599,2
1627730,1
1642090,2
1650336,1
1666377,1
1672126,1
1708191,1
1729577,1
1761003,1
1768737,1
1777090,1
1796579,1
1807627,1
1810324,1
1813580,1
1823497,1
1827512,1
1899926,1
1906206,2
1949554,1
1958659,1
1966126,1
1979703,2
2003986,3
2006391,1
2007748,1
2020820,1
2049384,1
2082140,1
2088815,1
2099272,1
2129654,1
2137578,1
2142752,1
2185582,1
2193767,1
2209048,2
2211996,1
2213531,1
2221895,1
2235839,1
2245573,1
2248046,1
2284301,1
2294560,1
2340425,1
2340490,1
2354741,1
2357365,2
2374123,1
2398375,1
2419739,1
2425802,1
243999,1
2464110,1
2474562,1
2493770,1
2504992,1
2545730,1
2562861,1
2624806,1
2627343,1
2641380,1
2669079,1
2672839,1
2685454,1
2736516,1
2738565,1
2752112,1
2765160,1
2797974,2
2810741,3
2849651,1
2850651,2
2885270,2
2938077,1
2972112,1
2992826,1
3015325,2
3019499,1
3027164,1
3042867,1
3078121,1
3092616,1
3099998,1
3100252,1
3116350,1
315228,1
3152952,1
3183264,2
3198050,1
3206791,1
3212374,1
3249477,5
3251676,1
3253853,1
3281634,1
3296571,1
3305290,1
3323598,1
3338909,1
3342430,1
3378223,1
3386162,1
3406767,1
341291,1
3430103,1
3455016,1
3522865,1
3553551,2
3578755,1
3592030,1
3596998,1
3599007,1
3626293,1
3656904,1
3660912,1
3703341,1
3703651,1
3708150,1
3721482,1
3732958,1
3734557,1
3737266,1
3739503,1
3760666,1
3805886,2
381041,1
3814997,1
3842769,3
3855955,2
3878418,1
3879097,1
3883144,1
3883569,1
3891761,1
3940434,1
3952702,1
3952802,1
3980108,1
3987536,1
3989612,1
4009933,1
4015623,1
4018100,1
4019220,1
4037612,1
4038537,1
4044061,1
4049966,1
4064004,3
4069646,1
4070469,1
4114960,1
4127323,1
4136507,1
4137658,1
4140557,1
4143519,1
4145291,1
4152581,1
4166285,1
4183829,1
4184147,2
4184966,1
4199695,1
4203580,1
4209724,1
4213216,1
4229733,1
4237609,1
4244701,1
4244753,2
4248130,1
4259318,3
4260324,1
4261652,1
4262473,1
4265409,1
4266494,1
4268685,1
4269149,1
4271755,1
4273056,1
4274815,1
4275152,1
4275154,1
4275581,1
4275943,1
4276251,1
4276606,1
4276916,1
4277236,1
4277426,2
4278472,1
4278670,1
4278764,1
4279014,1
450989,1
506796,1
524281,2
536078,1
579671,1
608649,1
615306,1
622701,1
633899,2
640978,1
721079,1
764624,1
804967,2
811056,1
823393,1
849961,1
881375,1
928611,1
929227,1
932623,1
964148,1
965479,1
984823,1
996701,1
